product,avg_ibp,std_ibp,avg_fbp,std_fbp,n_tests
RFG2562-1AXXX,40.75671428571429,5.5878224653940025,140.66400000000002,9.309251957058637,7
DQC1,40.816500000000005,1.2612189209913802,151.2996,0.9683103496985487,10
183322-38 ez,40.877,,137.072,,1
JUNE ACCX,40.892,,148.282,,1
193234-9opt<<<,40.932,,117.567,,1
WEEK QCB,40.97966666666667,0.7615250050611179,152.80966666666666,0.8943155669747341,3
WQC,40.985,0.0,150.766,0.0,2
G1&G2 EVAP,40.99011654135338,18.17497670521149,131.5215187969925,32.46716044453372,532
194313-125AAA,40.993,,124.352,,1
Monthly ACCX,41.007,,153.998,,1
184174-85,41.09,,131.24,,1
186217-6 ez,41.202,,44.319,,1
gas qc1,41.20941666666666,1.3593122230366959,149.4785,1.739951749592246,12
dqc run,41.25333333333334,1.1572962743682635,151.0426666666667,1.8400033333303147,6
180309-12,41.272,0.0,44.237,0.0,3
182872-7loloo,41.597,,117.519,,1
189557-4opt<,41.641,,109.795,,1
RFG 2407X,41.745,,111.553,,1
189411-1GGG,41.746,,303.294,,1
179398-27werdry,41.772,0.0,44.505,0.0,3
181720-47A,41.787,0.0,139.009,0.0,2
191230-6 oppjb,41.842,,44.453,,1
182976-88,41.888,,44.83,,1
RFG2489-1CCC,41.904,7.635748110041346,152.8885,7.411470319713885,6
Mtbe 13020,41.905,,44.449,,1
WEEK QCBBBBB,41.969,,152.743,,1
RFG2478-1ccc,42.137,,133.905,,1
181720-61b,42.139,0.0,140.603,0.0,2
191769-18 oppppp,42.184,,44.588,,1
191839-1aaa,42.245,,111.827,,1
gas qc,42.272,0.0,153.56,0.0,4
191194-3x,42.286,,106.363,,1
CAMIN GAS DQC,42.4220625,0.543279114114773,151.8465,0.8127221747518294,16
191883-7 oppppppp,42.4475,0.023334523779156954,44.6305,0.1322289680818827,2
G1 & G2 EVAP,42.4619074074074,20.36529386107327,137.15679629629628,37.29408799694343,54
176603-7uuuu,42.64,,152.18,,1
192234-38 oppppp,42.708,,122.045,,1
190425-52 jb hb mtbe,42.808,,45.515,,1
mtbe 1-9,42.839,0.0,44.699,0.0,7
WQC-#11 34919x,42.862,,148.698,,1
191595-19b oopp,42.878,,44.496,,1
188651-9CCC,42.916,,144.912,,1
193888-3opt1,42.935,,105.43,,1
192117-200,42.975,,158.636,,1
189533-6x,43.046,,45.393,,1
192993-15opt<<,43.088,,44.654,,1
1869-1,43.1,,157.161,,1
177259_7,43.169,,149.768,,1
186907-1GGG,43.202,,297.264,,1
184183-144,43.224,,45.032,,1
camin gas qc opti,43.299,2.8232428163372707,149.65066666666667,0.48901567800360146,3
193208-22opt<<<,43.32,,120.393,,1
189812-7a,43.337,,154.272,,1
183096-23,43.446,,127.79,,1
192738-7 ez,43.569,,126.412,,1
175655-5 10%opt,43.584,,147.614,,1
NAFTA BRASKEM,43.5865,12.705433258168636,137.82319999999999,19.33644468527414,10
RFG 2388X,43.894,,171.409,,1
RFG2516-1CCC,44.12733333333333,5.902375228103797,161.03666666666666,8.161286193568598,3
RFG-2554A,44.443,,163.274,,1
182335-8 jgg,44.563,,154.884,,1
190613-2 jbva,44.7,,157.753,,1
RFG2502-1X,45.0632,4.402096284726176,146.0352,19.46531347551331,5
RFG-2344-1 CCC,45.1045,4.953283002211765,151.3075,1.866054795551306,2
GAS QC1,45.58,,138.731,,1
TRANSMIX?,45.674,0.0,301.47,0.0,3
191357-12a,45.794,,130.111,,1
QC44,45.796,0.08626702730475871,112.531,27.46827002197263,2
175664-3,45.851,,99.637,,1
QCAA,45.958,,153.73,,1
175019-2 bagels,46.431,0.0,314.609,0.0,2
176869-4zzz,46.546,,263.409,,1
Naphtha-Crude HB,46.788,,305.053,,1
191102-6 opjb,46.941,,167.277,,1
184365-3,47.349000000000004,19.7905045918491,91.45150000000001,82.30510800977058,2
177593-2GGG,47.351,0.0,303.129,0.0,4
TRANS 53.9,47.46,9.552350271754367,248.32175,91.20667454076874,8
P2 SLATE,47.6298275862069,13.930642568168524,99.6643448275862,26.51271053297679,29
Mixed Naphtha HB,48.17425925925926,3.6561392642300223,126.14435802469134,6.111736539864588,81
RFG 2395X,48.214,,153.839,,1
TRANS HEAVY,48.522999999999996,2.310824960917635,307.879,5.515432893255059,2
41891-3optt,48.636,,113.758,,1
transmix 53.9,48.847,5.63839040270655,284.93014285714287,20.86041811204953,7
RFG 2428X,49.065,,155.753,,1
Condensate,49.197,,149.178,,1
191557-25 deeeeeeee,49.27,,155.941,,1
176612-14a,49.528000000000006,30.443775357205617,119.4185,66.13923277828374,2
175591-2ggggg,49.64,,305.433,,1
RFG-2386-1CCC,49.671,,163.474,,1
TRANS,49.672875,8.61878097839662,273.04200000000003,58.28578885849572,8
RFG 2422X,49.884,,149.983,,1
AUTO G1+G2 Gasoline,49.982809386761126,24.46447075146822,142.033185078592,26.978398478896228,4517
190318.11X,50.281,,144.258,,1
190135-27optx,50.568,,108.37,,1
183708-5,50.615,,55.26,,1
190154-20x,51.068,,132.24,,1
193776-15x,51.167,,111.583,,1
193776-15xx,51.35,,128.085,,1
179012-25a,51.716,0.0,152.034,0.0,3
RFG-1343-1CCC,51.785,,161.997,,1
191743-9 ez,52.245,,113.27,,1
Naphtha-CrudeHB -new,52.4738,0.5561238171486629,161.2676,9.599339706458979,5
191504-11A,52.975,,130.86,,1
19119511DDD,52.999,,156.192,,1
