product,avg_ibp,std_ibp,avg_fbp,std_fbp,avg_t50,std_t50,avg_test_duration,std_test_duration
186610-6 10% ez,26.34,0.0,140.252,0.0,68.681,0.0,36.05,0.0
186622-13 ez,36.914,0.0,176.76200000000003,0.0,125.004,0.0,36.81666666666667,0.0
186893-1kls,31.189,0.0,152.004,0.0,65.855,0.0,41.7,0.0
1869-1,43.1,,157.161,,107.892,,37.4,
186907-1GGG,43.202,,297.264,,187.319,,33.45,
186929_1A,25.875,0.0,38.074,0.0,39.360857142857135,0.00037796447300849555,33.483333333333334,0.0
186954-8 ez,34.119,,131.172,,83.91,,34.266666666666666,
187048.3B,37.223,,106.676,,94.599,,35.266666666666666,
1873-1BAGELS,36.21,,161.405,,88.66,,35.483333333333334,
188078-4lol,38.086,,109.353,,73.611,,34.45,
188090-13 ez,28.332,,81.808,,47.647,,32.85,
188573-8x,38.637,,144.845,,85.646,,34.21666666666667,
188651-9CCC,42.916,,144.912,,96.051,,34.78333333333333,
188880-75opttt,31.875,,138.639,,95.696,,34.36666666666667,
1891611-44,25.479,,37.722,,38.955,,34.7,
189261-7optt,27.643,,72.529,,46.115,,35.766666666666666,
189335-4a,33.723,,137.009,,77.665,,34.2,
189335-75x,35.32,,136.144,,77.027,,36.91666666666666,
189390-1x,26.986,,69.392,,45.791,,34.266666666666666,
189411-1GGG,41.746,,303.294,,157.984,,32.916666666666664,
189446-11qwqw,26.957,,71.251,,46.059,,33.93333333333333,
189480-2 ez,35.475,,122.968,,72.579,,37.28333333333333,
189497-722,37.117,,132.886,,104.619,,33.166666666666664,
189519-288,26.832,,64.284,,44.303,,34.233333333333334,
189524-15a,26.118,,49.313,,41.132,,36.083333333333336,
189524-9a,26.029,,49.003,,41.078,,35.583333333333336,
189533-6x,43.046,,45.393,,55.054,,36.61666666666667,
189545-13b,27.192,,74.575,,46.401,,32.9,
189545-33 ez,27.338,,77.694,,47.27,,35.483333333333334,
189557-4opt<,41.641,,109.795,,82.508,,36.65,
189564-6a,35.857,,142.102,,85.633,,36.31666666666667,
