merged_product,avg_ibp,avg_fbp,avg_t50
192434-1 opppppp,35.084,127.302,67.299
192439-6BBB,36.178,137.983,90.582
192439-7BBB,35.9255,109.5355,67.24350000000001
192448-1SPAVID,40.704,148.452,96.21
192448-2SPAVID,39.436,148.3,100.334
192448-4POOP,40.272,148.742,95.57
192448-6RIZZLER,39.807,148.481,99.806
192458-26 oppppp,36.626,123.47,77.143
192493-1opt<<,60.552,64.455,72.566
192520-1,99.385,100.123,110.6
192556-6AAA,34.918,142.223,65.393
192558-6opt<<<,29.217,90.391,51.467
192574-19opttt<<,27.472,76.909,48.213
192595-5 deeeeecubed,35.572,169.172,74.463
192595-5 deeeeeeee,37.33,290.426,85.1645
192600-13 ooppppp,56.632,167.564,73.243
192605-19AAA,31.133,90.607,55.556
192606-1 oppppppp,34.79,128.641,82.431
192606_13GGG,33.531,148.909,82.745
192648-9OPT>>,38.306,128.317,79.664
192710-7AAA,35.982,144.065,65.606
192729-1a,34.782,135.841,64.806
192729-2,36.112,139.512,66.073
192734-1a,34.23,125.376,65.531
192738-7 ez,43.569,126.412,80.213
192765-4GGG,65.892,280.951,208.787
192767-24so,167.509,231.877,203.93
192779-6AAA,35.585,128.479,69.858
192788-19opt;;,35.333,82.264,59.456
192830-19opt==,27.524,76.733,48.337
192834-5 opppppp,35.309,145.666,66.66
192851-15 ez,33.003,139.389,83.827
192865-7xxx,35.514,156.331,67.289
192868_1B,36.802,129.721,66.311
192907-6so,59.4,84.452,77.178
192922-7opt<<<,34.432,127.656,67.157
192935-244,34.756,155.742,91.926
192937-15opt<<,31.928,80.007,55.906
192957-5 ez,36.955,158.541,71.746
192972-1 oppppppp,35.311,140.826,65.618
192985-88opt<<,32.107,132.563,78.769
192993-15opt<<,43.088,44.654,54.931
193011-3AAA,37.043,138.228,66.8825
193031-6 ez,116.756,132.483,135.845
193038-1 ez,35.62,140.446,65.253
193067-7AAA,34.747,155.372,66.809
193086-14opt<<,35.038,136.876,65.817
193087-6GGG,29.012,88.124,51.711
193112-6bb,38.054,129.861,103.728
193138-1AA,32.519,114.729,61.422
193165-11 ez,27.638,77.199,48.747
193208-22opt<<<,43.32,120.393,78.782
1932255-1AAA,34.912,132.855,65.425
193234-11opt<<,40.706,117.319,89.383
193234-1opt==,38.835,116.166,98.799
193234-9opt<<<,40.932,117.567,94.255
193249-6AAAA,34.589,137.206,91.147
"193250-9opt,,",34.584,134.793,65.097
193260-2opt==,34.147,123.257,86.358
193433-10opt[],28.337,75.964,48.88
193462-7sss,30.04,73.44,49.19
193477-13opt==,27.937,73.961,48.099
193505-9 oppppp,27.631,75.034,48.289
193566-6 so,28.782,69.271,46.918
193640-14AAA,124.901,126.486,136.87
193728-7x,211.61,338.08,284.59
193776-15x,51.167,111.583,78.47
193776-15xx,51.35,128.085,78.93
193888-3opt1,42.935,105.43,84.38
193894-1414,33.01,146.438,92.92
193961-20opt<<,36.829,158.843,101.7
193961-7AAA,37.979,165.01,95.13
194095-11spk,33.825,145.148,66.257
194100-6 ez,28.459,134.839,90.734
194126-116opt==,28.776,86.238,50.298
194130-19opt==,27.832,72.498,47.426
194133-18AAA,27.117,75.492,48.469
194155-53AAA,36.247,147.588,83.603
194188-1AAA,31.203,150.604,89.599
194211-146AAA,23.421,125.844,61.61
194234-888,31.854,98.163,53.351
194252-1AAA,64.936,115.457,105.228
194313-125AAA,40.993,124.352,85.14
194318-2AAA,31.999,134.072,93.693
194364-111,30.448,137.327,65.845
194373-19 opppppp,64.769,122.588,97.51
194396-6opty<<,27.859,76.097,48.86
194397-7optt==,28.792,135.459,66.53
194463-19opt;;;,39.394,172.072,120.58
194504-16opt;;,27.737,78.775,49.22
194546-6AAA,29.533,136.611,93.29
194570-17AAA,84.635,147.16,128.0
194620-144,36.101,149.143,104.13
194668-16optttt,36.456,147.525,100.82
194701-6 opppppp,34.104,139.758,90.95
194746-7opt==,27.74,73.44,48.44
194762-13opt1111,30.506,76.836,50.66
194773-6b,38.469,172.108,118.33
194796-1 oppppp,24.512,32.933,37.46
194806-4opttt,31.843,106.079,60.26
194819-6.10%aaa,25.253,69.549,45.49
2002-1 optimize,35.542,158.386,90.77075
2043-1opt,61.719,151.425,107.49
2198-1wwrtv,27.717,159.04,112.0305
2275-1a,26.352,154.323,92.641
2290-1a,25.116,165.515,91.742
2297-1,27.639,142.034,93.269
240 CUT,27.218,74.788,47.005
2469-1zzzxxy,37.918,139.604,88.254
280 cut,53.434875000000005,121.290875,121.369375
330F cut,63.025,153.384,164.484
350 F Cut,55.128,156.033,108.323
350 cut,55.60185714285715,147.49257142857144,147.441
400 cut,61.07276888888889,165.3154577777778,153.1968488888889
400F CUT,68.084,186.601,173.97
41891-3optt,48.636,113.758,85.053
450 cut,55.71625362318841,200.91911594202895,194.0749347826087
4607-14tgggggg,32.972,148.434,66.285
4663-4eeeee,184.914,339.638,277.595
4678-13,31.892,145.968,64.44149999999999
60-40 MeOH Blend,69.569,88.428,89.046
650°F cut,69.21549999999999,266.127,277.227
85722-4a,62.201,166.294,129.428
85722-4azz,61.423,150.709,128.197
ATK,157.038,224.821,195.81
AUTO G1+G2,41.881877515076944,136.16048375969623,91.32725518937931
AUTO G2 High Boil.,64.91745296167248,147.63526480836236,116.64736933797909
AUTO G3,151.7862092686459,228.7863881245474,194.9430115858074
AUTO G4,199.544880839895,313.7239681539807,266.8229431321085
AUTO G4 OPT,199.534,330.467,273.468
BUCKEYE KERO,150.23815384615384,241.2006153846154,198.2222307692308
Buckeye Gasoil,215.3401,341.0517,296.8481
CAC 3228-2 VVV,81.148,305.22,246.386
CAMIN GAS DQC,42.4220625,151.8465,102.9741875
CBOBRR,29.372,148.066,73.97333333333334
CM,204.4095,333.21375,249.5955
CRUDE INV,59.78345059288537,362.6129446640316,212.088976284585
Camin Diesel,189.906,307.83,256.981
Camin Gas RVP +9.5..,40.496,146.099,97.138
Camin Gas RVP -9.5,114.939,133.917,133.11
Camin High Aro light,25.474,39.697,39.695
Camin Reformate,68.4805,148.9985,129.166
Condensate,49.197,149.178,114.94
D1078,65.237,145.687,130.328
D850,76.589,81.2895,87.94200000000001
D850 BENZENE,66.2815,84.44200000000001,80.4345
D850 Mixed Xylene,127.8793611111111,128.321,139.108
D850 Toluene,106.47959507936508,112.43736301587302,118.07013539682539
D850-xylene,127.97833333333334,129.03300000000002,139.27666666666667
DIESEL PARA RC,193.80180597014925,332.0004328358209,276.100604477612
DIESEL PESADO,215.85111111111112,362.9402222222223,327.947
DIESEL QC,186.293,306.81330769230766,255.978
DIESEL_9%,195.14916666666667,328.8450925925925,271.9215555555555
DMA,196.3628888888889,334.44377777777777,278.50666666666666
DQC 24585A,36.436,144.283,83.069
DQC1,40.816500000000005,151.2996,98.5277
Diesel,219.7760010068804,322.9380473233764,281.9424799462997
Diesel & Jet G4,161.081,238.194,207.045
G1,27.725,63.779,45.326
G1 & G2 EVAP,42.84713461538461,141.0823653846154,89.86167307692307
G1+G2 EVAP,36.98123666978485,134.58139039600871,84.93944621141253
G3 HIGH BOIL,56.749,291.546,187.28
G4 HIGH,197.57348,323.12366000000003,271.83948
G4 HIGH #2,56.74475,324.11575,209.283
G4 HIGH BOIL,171.9223,293.07135,235.54465
G4 MOD-D1655,149.5555,230.7839583333333,192.43470833333333
GAS EVAP HIGH EP,39.181,269.792,163.35
GAS OIL OPT,210.0885,331.95925,287.67525
GAS QCB,39.757,151.143,95.668
GASOLINE,40.024,154.027,89.83699999999999
GASOLINE G1+G2 TEST,30.921,147.205,71.73
Gas Handblend,34.69906666666667,137.82906666666668,83.31426666666667
Gas Oil OPT,210.0187411764706,338.71382352941174,295.8879176470588
Gas QC,42.272,153.56,102.704
Gas QC1,43.39470833333333,144.10475,101.37741666666665
Gasoil,221.756,337.267,295.89
Gasoil Opt,210.96924868421053,338.2028006578947,293.91832565789474
HEXADECAN CAL 2,265.9499090909091,266.92318181818183,277.92345454545455
Heavy Naphtha,79.3669512195122,139.19935365853658,120.98828048780489
JET A1,41.807,192.254,122.706
JET D1655-DEFSTAN91,154.86843478260872,243.1105652173913,197.8219565217391
JUNE ACCX,40.892,148.282,101.682
KM Diesel,221.024,341.298,306.388
LPO 15521-31oppttt,66.664,354.223,264.42
MEG D1078,186.3092,186.24,197.3092
MTBE,42.51733333333333,44.88766666666667,54.922333333333334
Magellan 124 HVN New,86.73061052631579,129.2276947368421,117.08152631578947
Magellan 125 LVN New,30.73896103896104,84.4676103896104,64.27676623376622
Magellan Gasoil New,205.80193333333327,339.468,296.4012
Magellan Kero New,151.06088095238096,235.26838095238097,197.83883333333333
Methanol D1078,53.292,53.391000000000005,64.392
